City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,16.49,37,8,1.07,RU,1686261475
1,albany,42.6001,-73.9662,18.21,68,89,1.99,US,1686261442
2,port lincoln,-34.7333,135.8667,13.67,57,100,6.23,AU,1686261475
3,olonkinbyen,70.9221,-8.7187,2.34,97,100,8.51,SJ,1686261475
4,invercargill,-46.4,168.35,2.51,89,8,1.57,NZ,1686261042
5,arnprior,45.4334,-76.3494,16.99,73,100,1.83,CA,1686261475
6,geraldton,-28.7667,114.6,8.23,93,0,4.12,AU,1686261312
7,puerto natales,-51.7236,-72.4875,0.35,86,8,2.0,CL,1686261474
8,hamilton,39.1834,-84.5333,25.49,27,0,4.63,US,1686260898
9,nemuro,43.3236,145.575,10.87,98,100,3.51,JP,1686261476
10,port-aux-francais,-49.35,70.2167,5.1,76,75,8.44,TF,1686261463
11,carauari,-4.8828,-66.8958,25.84,90,21,1.05,BR,1686261476
12,mahmudabad,27.3,81.1167,31.87,22,0,2.95,IN,1686261477
13,georgetown,5.4112,100.3354,28.96,89,20,1.03,MY,1686261472
14,kijang,35.2442,129.2139,18.85,86,12,3.41,KR,1686261477
15,dhidhdhoo,6.8833,73.1,28.95,78,97,7.17,MV,1686261198
16,wailua homesteads,22.0669,-159.378,27.44,72,40,4.12,US,1686261477
17,waitangi,-43.9535,-176.5597,9.9,82,63,2.82,NZ,1686261477
18,campo formoso,-10.5075,-40.3214,20.99,87,100,2.48,BR,1686261478
19,ujae,8.9322,165.7642,28.44,80,68,7.3,MH,1686261478
20,grytviken,-54.2811,-36.5092,1.83,86,100,2.31,GS,1686261473
21,port hedland,-20.3167,118.5667,16.03,44,60,2.06,AU,1686261478
22,san patricio,28.017,-97.5169,36.21,47,22,4.58,US,1686261478
23,aykhal,66.0,111.5,11.36,65,98,6.03,RU,1686261479
24,isafjordur,66.0755,-23.124,8.44,91,100,4.3,IS,1686261479
25,kourou,5.1552,-52.6478,25.03,86,20,2.77,GF,1686261479
